country_code,year,tot_views,richness,exp_shannon,inv_simpson,lex_div_q_0,lex_div_q_1,lex_div_q_2
AM,2015,59888000,125,3.732111371363011,2.930369311831707,2.680424799927968,2.5172954684544164,2.4023565609617528
AM,2016,100547000,137,3.72341497796336,2.9925321574248964,2.6863468420411993,2.546026255305347,2.4506791357981053
AM,2017,105891000,108,3.709419569045068,3.069167242419648,2.6872410781429283,2.577230245032281,2.50968653736684
AM,2018,106843000,91,3.6110052076544035,3.0343018434383153,2.664128107024009,2.561625715615786,2.5012145308882903
AM,2019,114079000,95,3.6304676153084254,3.021666183614432,2.6780764776311323,2.564698482585597,2.497826107818403
AM,2020,134380000,271,3.5130347939190427,2.8689488540184422,2.6338775605562335,2.496427689501665,2.412769562908539
AM,2021,136828000,210,3.4879420213103085,2.7939572020156094,2.633031158781054,2.4716612315793123,2.3669345809299975
AM,2022,162053000,252,3.6544793881471405,2.9043549458101183,2.670779769062674,2.5208373228707117,2.4300881690416096
AM,2023,184212000,289,3.981978558787856,3.053935119738104,2.752963213940082,2.598351195397314,2.511185339400404
AM,2024,173048000,246,3.7734210684011606,2.963661620502308,2.7214552439949977,2.5619341892933662,2.4644578345659163
AO,2015,120785000,184,1.809443414667715,1.2857724963953048,1.6234770770933962,1.3342459715643333,1.2252330721729907
AO,2016,265397000,204,1.698846144770159,1.2432998069291912,1.5609610110098322,1.2909569521860136,1.1935441106913587
AO,2017,254319000,149,1.7622623586716462,1.269501404922105,1.5962875748076826,1.316295855660769,1.2122183604281258
AO,2018,148855000,133,1.7803343919006447,1.2852374887013276,1.6188629307774292,1.3338253105678932,1.225269605830204
AO,2019,48363000,59,2.2778272415890624,1.5495009980326857,1.8583159807910579,1.5510818135855498,1.4044527099597408
AO,2020,41889000,67,2.612702040190616,1.7747451794818152,2.028625303204604,1.7336509407456482,1.577091331262453
AO,2021,42985000,77,2.365040492425673,1.6492852994214566,1.9569168398129924,1.6532824255715732,1.4997228223899288
AO,2022,41958000,100,2.366734437651783,1.706409198646704,1.9550946463675507,1.6869760423668676,1.5441096952148303
AO,2023,43181000,57,2.4356200257924896,1.833726203483661,1.981189411211838,1.7613569764037689,1.637935081280259
AO,2024,43582000,53,2.4648054605889014,1.8730841745792792,1.9914186070087465,1.7833616146290685,1.6658969672178492
AQ,2018,20000,2,1.2195906179141718,1.1049723756906078,1.4413935098107415,1.1673479914344178,1.0974056970053072
AQ,2019,116000,9,1.5972287265917462,1.196088888888889,1.5854302746105349,1.252200332510958,1.1562404977862162
AQ,2020,208000,11,1.8437000465055995,1.2753213064497118,1.8533013741559996,1.3720826494121103,1.2260685491661996
AQ,2021,46000,1,1,1,1,1,1
AQ,2023,15000,3,2.347230565787614,2.1028037383177574,2.2685616325192606,2.0689955454147975,1.9483863186168315
AQ,2024,210000,91,37.1061142910018,12.401574803149627,6.064561383116646,5.63034233948538,5.216275021805009
AR,2015,1169247000,264,1.5747320408634249,1.2700373697012837,1.5365154191206305,1.3169860944211955,1.222353824369596
AR,2016,1824174000,244,1.5759406005084278,1.2762164611684983,1.541851893945196,1.3230945750986003,1.2275120283867385
AR,2017,1733699000,285,1.6471222401551078,1.2946149333612067,1.5817578140872948,1.3441152530163796,1.2410772514581268
AR,2018,1727886000,271,1.7173599033243365,1.3432366838885699,1.6329766084257042,1.3914623350021285,1.2798478380107718
AR,2019,1707889000,284,1.670374945104301,1.3128461431709502,1.5958806322104016,1.3607744297397966,1.2557485097950387
AR,2020,1898985000,238,1.6092059643808527,1.2925354761957235,1.5665073464017474,1.3408112563824581,1.2411170147118273
AR,2021,1510979000,266,1.6135589941547255,1.3046189685091856,1.5761112865132554,1.353039041628517,1.2519854793956102
AR,2022,1416934000,264,1.6842324622741986,1.3506363207582532,1.6194583297076364,1.39540780816351,1.2882275657471514
AR,2023,1451834000,311,1.8386754483385535,1.392916353653757,1.6936672828656865,1.4389881231157517,1.3192957419281115
AR,2024,1342468000,264,1.7624677990638296,1.392168423297643,1.6634745524518946,1.4338448966599484,1.320562188765332
AS,2015,617000,7,1.3455449897965168,1.1154708290235906,1.4356723202955202,1.1608603793330619,1.0952527359158435
AS,2016,1050000,13,1.6971003578032717,1.2271707286667086,1.8035988710774749,1.3257587680991478,1.1922396914841689
AS,2017,984000,11,1.7635463591506204,1.253473975284093,1.8249632261389193,1.349891044801513,1.210507969144185
AS,2018,736000,11,1.6771983582013634,1.2395108735447022,1.8532288886460915,1.3541324601570928,1.208672146786986
AS,2019,624000,9,1.4670707285734792,1.156248700847493,1.6069973262297936,1.2306501432330863,1.1341372001413454
AS,2020,725000,15,1.8027900832789883,1.2461622352090471,1.7407836703243431,1.3138357903023776,1.192422051569266
AS,2021,567000,7,1.3177583679152725,1.109780556255545,1.508822427329529,1.1767601781377433,1.0991669167458986
AS,2022,548000,7,1.3341786015678594,1.1180259268359878,1.5386531556859822,1.1879898394334099,1.1058413697431537
AS,2023,524000,10,1.6287789919189148,1.20991636482211,1.8313050643999276,1.3198076456854702,1.1834452543943392
AS,2024,475000,14,1.6326728690178838,1.2068283081136306,1.8521423746139918,1.3214050282510759,1.1827140698262977
AT,2015,963945000,268,2.546282988944995,1.7089153483107815,1.9179633775318683,1.6043080126348368,1.4560895407570853
AT,2016,1235365000,193,2.234464351875191,1.545031930863233,1.6592365162956262,1.4165594825298709,1.3224040511655466
AT,2017,1202493000,245,2.287735365016614,1.5623180620440587,1.6877120267264736,1.4319781913238825,1.3330812924327617
AT,2018,1194504000,235,2.3738982239056003,1.6149599411937883,1.7146873774457931,1.4586912332266668,1.3580855877455178
AT,2019,1217514000,274,2.4837216767569474,1.6598897225599354,1.7501488516250179,1.4861368882160666,1.3810323333893015
AT,2020,1253688000,277,2.3956197851932357,1.6277374378862806,1.7179152593118197,1.4643642202898084,1.3640216652367965
AT,2021,1201659000,293,2.4304342671224326,1.643682562310826,1.7400788426975615,1.4762141027548117,1.3728465698782242
AT,2022,1136136000,302,2.6974888258452117,1.7491476511768496,1.847411043028768,1.5482805979069307,1.4290013423789316
AT,2023,1159523000,319,3.025286176248246,1.8769452759842955,1.9870358392565013,1.6366405927563503,1.4964118048379846
AT,2024,1112099000,340,3.5523649674692424,2.0618523663870896,2.227430462264591,1.7754699041270054,1.595881531621914
AU,2015,1917928000,268,1.310380175869564,1.0861294191727509,1.396842289467579,1.1329709675490207,1.075138099413012
AU,2016,2900348000,280,1.3214537558351709,1.0901049158182399,1.4099290961377569,1.1387333860193216,1.0785817089438476
AU,2017,2835468000,285,1.402110563689433,1.114735033261124,1.4956109288490171,1.1748100288067898,1.0998137731603783
AU,2018,2777146000,285,1.4067718602974053,1.117343978590601,1.504556762129847,1.1789369348292602,1.1022466934383017
AU,2019,2814860000,291,1.3786522218506072,1.1065071671696327,1.4713130655680509,1.1636059311086628,1.0929724603834226
AU,2020,3028576000,300,1.3881730193114228,1.1054443739917443,1.4749845337937995,1.163513359277345,1.0924801805108608
AU,2021,3035690000,297,1.326893874724685,1.0934655173567518,1.4376619969748572,1.147761090629358,1.0830236218819682
AU,2022,2857176000,313,1.3158347293316317,1.0877592398417206,1.4131775553447459,1.13818054652389,1.0776065595053976
AU,2023,2912837000,324,1.349365379637833,1.095379335785512,1.4406098442921091,1.149048515352925,1.0839502694006482
